"Artist","TotalAlbums"
"(G)I-dle","1"
"AB6IX","1"
"aespa","1"
"Apink","1"
"ATEEZ","1"
"BAE173","1"
"BamBam","1"
"Bang Yongguk","1"
"Billlie","1"
"Blitzers","1"
"Bolbbalgan4","1"
"Brave Girls","1"
"BTOB","1"
"Cherry Bullet","1"
"Choi Yena","1"
"Cravity","1"
"Def.","1"
"DKZ","1"
"Dreamcatcher","1"
"Drippin","1"
"E'LAST","1"
"Enhypen","2"
"Epex","1"
"Epik High","1"
"Eric Nam","1"
"Everglow","1"
"fromis_9","1"
"Ghost9","1"
"Ha Sungwoon","1"
"Highlight","1"
"ILY:1","1"
"IVE","2"
"Jinjin & Rocky","1"
"Just B","1"
"Kai","1"
"Kang Hyewon","1"
"Kep1er","1"
"Kihyun","1"
"Kim Jaehwan","1"
"Kim Junsu","1"
"Kim Sungkyu","1"
"Kim Wooseok","1"
"Kim Yohan","1"
"Kingdom","1"
"Kwon Eunbi","1"
"Kyuhyun","1"
"Lee Seokhoon","1"
"Lee Seungyoon","1"
"Lisa","1"
"LUNA","1"
"Max Changmin","1"
"Mirae","1"
"Miyeon","1"
"Monsta X","2"
"Moonbin & Sanha","1"
"Moonbyul","2"
"NCT 127","2"
"NCT 2021","1"
"NCT Dream","1"
"NINE.i","1"
"NMIXX","1"
"NU'EST","1"
"Oh My Girl","1"
"Omega X","1"
"Onew","1"
"ONEWE","1"
"ONF","1"
"OnlyOneOf","1"
"P1Harmony","1"
"Pentagon","1"
"Purple Kiss","1"
"Ravi","1"
"Red Velvet","1"
"Rocket Punch","1"
"Seventeen","1"
"SMTOWN","10"
"Solar","1"
"StayC","1"
"Stray Kids","2"
"Suho","1"
"Super Junior","1"
"Super Junior - D&E","1"
"Taeyeon","1"
"Tan","1"
"Tempest","1"
"The Boyz","2"
"Treasure","1"
"Trendz","1"
"Twice","1"
"UP10TION","1"
"Verivery","1"
"Victon","1"
"Viviz","1"
"Weeekly","1"
"WEi","1"
"Wheein","1"
"WJSN Chocome","1"
"Wonho","1"
"Wonpil","1"
"Yoon Jisung","1"
"Younha","1"
"Younite","1"
"Yuju","1"
