"Album","Date_Released","Sales"
"Universe","211214","118633.00"
"2021 Winter SMTOWN: SMCU Express","211227","74162.00"
"2021 Winter SMTOWN: SMCU Express","211227","74087.00"
"Lalisa","210910","73336.00"
"2021 Winter SMTOWN: SMCU Express","211227","62545.00"
"2021 Winter SMTOWN: SMCU Express","211227","56940.00"
"2021 Winter SMTOWN: SMCU Express","211227","41833.00"
"Eleven","211201","37284.00"
"Sticker","210917","31194.00"
"Favorite","211025","30331.00"
"Glitch Mode","220328","1649993.00"
"Oddinary","220318","1000088.00"
"The Second Step: Chapter One","220215","668539.00"
"Dimension: Answer","220110","621425.00"
"The Reve Festival 2022: Feel My Rhythm","220321","560838.00"
"Love Dive","220405","440067.00"
"Ad Mare","220222","406936.00"
"Shape of Love","220426","284668.00"
"First Impact","220103","271048.00"
"I Never Die","220314","198589.00"
